# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7M of event 'cycles:ppp'
# Event count (approx.): 12004087673020
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.00%  translator  [kernel.kallsyms]  [k] tick_sched_do_timer
     0.00%  translator  [ip_tables]        [k] ipt_do_table
     0.00%  translator  [kernel.kallsyms]  [k] skb_network_protocol
     0.00%  translator  [kernel.kallsyms]  [k] find_first_bit
     0.00%  translator  [kernel.kallsyms]  [k] __usb_hcd_giveback_urb
     0.00%  translator  [kernel.kallsyms]  [k] __queue_work
     0.00%  translator  [kernel.kallsyms]  [k] _raw_read_lock
     0.00%  translator  [tg3]              [k] tg3_msi_1shot
     0.00%  translator  [kernel.kallsyms]  [k] __generic_file_write_iter
     0.00%  translator  [kernel.kallsyms]  [k] account_process_tick
     0.00%  translator  [kernel.kallsyms]  [k] xhci_trb_virt_to_dma.part.45
     0.00%  translator  [kernel.kallsyms]  [k] __rb_insert_augmented
     0.00%  translator  [kernel.kallsyms]  [k] trb_in_td
     0.00%  translator  [kernel.kallsyms]  [k] irq_work_run_list
     0.00%  translator  [kernel.kallsyms]  [k] do_IRQ
     0.00%  translator  perf-14114.map     [.] src_0x5301c
     0.00%  translator  [kernel.kallsyms]  [k] handle_edge_irq
     0.00%  translator  [kernel.kallsyms]  [k] xhci_td_cleanup
     0.00%  translator  [kernel.kallsyms]  [k] kmem_cache_free
     0.00%  translator  [kernel.kallsyms]  [k] add_interrupt_randomness
     0.00%  translator  translator         [.] printf_driver
     0.00%  translator  [kernel.kallsyms]  [k] __wake_up_common
     0.00%  translator  [kernel.kallsyms]  [k] shrink_node
     0.00%  translator  [kernel.kallsyms]  [k] __ext4_journal_stop
     0.00%  translator  [kernel.kallsyms]  [k] ext4_journal_check_start
     0.00%  translator  [kernel.kallsyms]  [k] sys_mmap_pgoff
     0.00%  translator  [kernel.kallsyms]  [k] shrink_slab.part.51
     0.00%  translator  [kernel.kallsyms]  [k] iov_iter_fault_in_readable
     0.00%  translator  translator         [.] translate_ADDI
     0.00%  translator  [kernel.kallsyms]  [k] native_set_pmd
     0.00%  translator  [kernel.kallsyms]  [k] vma_compute_subtree_gap
     0.00%  translator  [kernel.kallsyms]  [k] mark_buffer_dirty
     0.00%  translator  [kernel.kallsyms]  [k] ext4_do_update_inode
     0.00%  translator  [kernel.kallsyms]  [k] dec_zone_page_state
     0.00%  translator  translator         [.] syscall6
     0.00%  translator  [kernel.kallsyms]  [k] jbd2_journal_stop
     0.00%  translator  [kernel.kallsyms]  [k] crc32c_pcl_intel_update
     0.00%  translator  [kernel.kallsyms]  [k] __fget_light
     0.00%  translator  translator         [.] translate_BNE
     0.00%  translator  [kernel.kallsyms]  [k] entry_SYSCALL_64_stage2
     0.00%  translator  [kernel.kallsyms]  [k] prefetch_freepointer
     0.00%  translator  [kernel.kallsyms]  [k] update_cfs_rq_h_load
     0.00%  translator  [kernel.kallsyms]  [k] snapshot_refaults
     0.00%  translator  [kernel.kallsyms]  [k] lock_timer_base
     0.00%  translator  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.00%  translator  [kernel.kallsyms]  [k] page_evictable
     0.00%  translator  [kernel.kallsyms]  [k] cap_vm_enough_memory
     0.00%  translator  [kernel.kallsyms]  [k] ext4_nonda_switch
     0.00%  translator  [kernel.kallsyms]  [k] timespec_trunc
     0.00%  translator  [kernel.kallsyms]  [k] vm_area_dup
     0.00%  translator  [kernel.kallsyms]  [k] crypto_shash_update
     0.00%  translator  translator         [.] enc_opc
     0.00%  translator  [kernel.kallsyms]  [k] start_this_handle
     0.00%  translator  [kernel.kallsyms]  [k] ext4_reserve_inode_write
     0.00%  translator  translator         [.] translate_SD
     0.00%  translator  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.00%  translator  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.00%  translator  [nfs]              [k] nfs_file_mmap
     0.00%  perf        [kernel.kallsyms]  [k] nmi_restore
     0.00%  translator  [kernel.kallsyms]  [k] nmi_restore
     0.00%  perf        [kernel.kallsyms]  [k] native_write_msr


#
# (Cannot load tips.txt file, please install perf!)
#
